[ 326.   271.5]
[ 781.  321.]


[ 325.   276.5]
[ 778.5  325.5]


[ 325.   278.5]
[ 778.5  330. ]


[ 325.5  283. ]
[ 778.5  334.5]


[ 329.5  289.5]
[ 780.5  343. ]


[ 334.  295.]
[ 784.5  347. ]


[ 336.5  296.5]
[ 786.  350.]


[ 335.5  299. ]
[ 786.   352.5]


[ 337.  300.]
[ 788.   355.5]


[ 337.  304.]
[ 785.5  360. ]


[ 337.   306.5]
[ 786.   362.5]


[ 339.  310.]
[ 787.  369.]


[ 341.  317.]
[ 789.  376.]


[ 343.5  322.5]
[ 791.5  383.5]


[ 350.   330.5]
[ 797.5  391.5]


[ 356.5  339.5]
[ 803.5  401.5]


[ 366.  351.]
[ 812.  416.]


[ 374.5  362. ]
[ 821.   430.5]


[ 383.  372.]
[ 827.5  442. ]


[ 386.5  383.5]
[ 832.  456.]


[ 392.  392.]
[ 837.5  468. ]


[ 392.  391.]
[ 839.5  471.5]


[ 386.5  388. ]
[ 838.  473.]


[ 379.5  378.5]
[ 834.   464.5]


[ 373.5  366. ]
[ 832.5  453. ]


[ 368.5  351. ]
[ 833.   439.5]


[ 360.5  336.5]
[ 831.   426.5]


[ 353.   323.5]
[ 830.5  414.5]


[ 341.   310.5]
[ 827.   402.5]


[ 327.5  301.5]
[ 818.5  394.5]


[ 314.5  297. ]
[ 812.5  391. ]


[ 295.   294.5]
[ 800.   387.5]


[ 279.   294.5]
[ 786.5  391. ]


[ 263.   296.5]
[ 775.  396.]


[ 254.  304.]
[ 764.   408.5]


[ 251.5  318. ]
[ 762.   425.5]


[ 256.5  333.5]
[ 764.   448.5]


[ 265.5  351. ]
[ 769.5  472. ]


[ 282.5  369. ]
[ 783.5  495.5]


[ 299.   385.5]
[ 797.5  515.5]


[ 315.5  398. ]
[ 811.  533.]


[ 332.   409.5]
[ 822.  547.]


[ 344.   422.5]
[ 828.  568.]


[ 350.  429.]
[ 830.5  578.5]


[ 353.5  432.5]
[ 830.  588.]


[ 361.   430.5]
[ 832.5  587.5]


[ 366.5  423.5]
[ 836.  586.]


[ 373.   416.5]
[ 841.5  584.5]


[ 376.5  397. ]
[ 846.  567.]


[ 373.5  369. ]
[ 844.5  541. ]


[ 361.  347.]
[ 835.  519.]


[ 350.   326.5]
[ 827.5  499.5]


[ 337.   307.5]
[ 819.   482.5]


[ 317.   291.5]
[ 803.5  467.5]


[ 302.  279.]
[ 790.5  457.5]


[ 285.5  270.5]
[ 777.  449.]


[ 275.  274.]
[ 767.   453.5]


[ 263.5  274.5]
[ 757.  456.]


[ 247.  276.]
[ 741.   462.5]


[ 237.  284.]
[ 729.5  477. ]


[ 229.5  292. ]
[ 719.5  490. ]


[ 223.  300.]
[ 708.5  504. ]


[ 219.5  310. ]
[ 702.5  523.5]


[ 220.5  315. ]
[ 698.5  537. ]


[ 225.5  315. ]
[ 699.5  546. ]


[ 234.5  314. ]
[ 705.   554.5]


[ 244.5  310.5]
[ 711.5  557. ]


[ 256.5  309. ]
[ 721.5  561.5]


[ 274.5  308.5]
[ 734.5  568.5]


[ 286.   302.5]
[ 747.   569.5]


[ 293.5  291. ]
[ 752.  562.]


[ 303.   281.5]
[ 761.   554.5]


[ 312.   267.5]
[ 772.   545.5]


[ 324.5  246. ]
[ 786.  523.]


[ 334.5  232. ]
[ 799.5  506.5]


[ 348.5  228.5]
[ 819.5  492.5]


[ 353.   225.5]
[ 829.5  474.5]


[ 346.   221.5]
[ 834.5  443.5]


[ 341.  233.]
[ 836.   434.5]


[ 320.   247.5]
[ 821.  429.]


[ 313.  269.]
[ 819.  430.]


[ 311.5  289. ]
[ 819.  434.]


[ 298.   295.5]
[ 809.5  428. ]


[ 298.5  316.5]
[ 810.5  429.5]


[ 290.5  320. ]
[ 803.  423.]


[ 289.   322.5]
[ 801.5  414.5]


[ 289.   331.5]
[ 796.5  415. ]


[ 281.5  330.5]
[ 788.  403.]


[ 284.   329.5]
[ 786.5  393.5]


[ 277.   331.5]
[ 781.   389.5]


[ 276.   334.5]
[ 774.5  386. ]


[ 276.5  344.5]
[ 773.5  385. ]


[ 280.   354.5]
[ 772.5  388.5]


[ 291.  370.]
[ 778.  396.]


[ 304.5  384. ]
[ 784.5  406.5]


[ 320.5  400. ]
[ 796.  420.]


[ 337.  416.]
[ 804.5  432.5]


[ 356.  432.]
[ 818.   447.5]


[ 372.5  453. ]
[ 827.5  472. ]


[ 387.  473.]
[ 835.5  489.5]


